agent_type,placement_method,game_id,agent_won,turns,agent_hits,player_hits,agent_sunk,player_sunk
random,spread,22,false,88,14,17,3,5
random,spread,23,true,96,17,16,5,4
random,spread,24,true,88,17,14,5,3
random,spread,25,true,89,17,15,5,3
random,spread,26,true,96,17,16,5,4
random,spread,27,false,96,15,17,3,5
random,spread,28,true,98,17,16,5,4
random,spread,29,true,99,17,16,5,4
random,spread,30,false,98,15,17,3,5
random,spread,31,false,98,16,17,4,5
random,spread,32,true,96,17,14,5,3
random,spread,33,true,99,17,16,5,4
random,spread,34,false,85,14,17,3,5
random,spread,35,false,94,16,17,4,5
random,spread,36,false,86,16,17,4,5
random,spread,37,true,99,17,16,5,4
random,spread,38,true,92,17,14,5,3
random,spread,39,true,96,17,14,5,3
random,spread,40,true,98,17,16,5,4
random,spread,41,true,87,17,14,5,2
random,spread,42,false,84,16,17,4,5
random,spread,43,true,95,17,16,5,4
random,spread,44,false,89,16,17,4,5
random,spread,45,true,99,17,16,5,4
random,spread,46,true,95,17,15,5,3
random,spread,47,true,91,17,15,5,3
random,spread,48,false,99,16,17,4,5
random,spread,49,true,100,17,16,5,4
random,spread,50,true,100,17,16,5,4
random,spread,51,false,93,16,17,4,5
random,spread,52,false,84,13,17,2,5
random,spread,53,true,96,17,16,5,4
random,spread,54,false,92,16,17,4,5
random,spread,55,false,82,15,17,3,5
random,spread,56,false,89,14,17,3,5
random,spread,57,true,92,17,14,5,3
random,spread,58,false,95,16,17,4,5
random,spread,59,false,92,15,17,3,5
random,spread,60,true,87,17,14,5,3
random,spread,61,true,93,17,16,5,4
random,spread,62,true,96,17,16,5,4
random,spread,63,true,94,17,15,5,3
random,spread,64,false,96,16,17,4,5
random,spread,65,true,98,17,16,5,4
random,spread,66,true,94,17,16,5,4
random,spread,67,true,89,17,15,5,4
random,spread,68,false,87,14,17,3,5
random,spread,69,true,95,17,16,5,4
random,spread,70,false,91,15,17,4,5
random,spread,71,false,91,16,17,4,5
random,spread,72,true,94,17,16,5,4
random,spread,73,false,91,13,17,3,5
random,spread,74,true,93,17,16,5,4
random,spread,75,false,97,16,17,4,5
random,spread,76,true,97,17,14,5,2
random,spread,77,true,91,17,14,5,3
random,spread,78,true,90,17,16,5,4
random,spread,79,true,88,17,15,5,3
random,spread,80,false,90,16,17,4,5
random,spread,81,false,92,16,17,4,5
random,spread,82,false,84,16,17,4,5
random,spread,83,true,85,17,11,5,1
random,spread,84,true,99,17,16,5,4
random,spread,85,true,90,17,13,5,2
random,spread,86,false,84,14,17,3,5
random,spread,87,false,86,13,17,2,5
random,spread,88,false,95,16,17,4,5
random,spread,89,false,94,16,17,4,5
random,spread,90,true,96,17,15,5,3
random,spread,91,true,80,17,15,5,3
random,spread,92,false,98,16,17,4,5
random,spread,93,false,94,15,17,4,5
random,spread,94,false,98,15,17,3,5
random,spread,95,true,100,17,16,5,4
random,spread,96,true,99,17,16,5,4
random,spread,97,true,99,17,16,5,4
random,spread,98,true,93,17,15,5,3
random,spread,99,true,89,17,15,5,3
random,edges,0,false,95,15,17,3,5
random,edges,1,false,85,14,17,2,5
random,edges,2,true,77,17,12,5,2
random,edges,3,true,97,17,16,5,4
random,edges,4,true,89,17,14,5,2
random,edges,5,false,98,16,17,4,5
random,edges,6,true,88,17,14,5,2
random,edges,7,true,98,17,16,5,4
random,edges,8,true,97,17,16,5,4
random,edges,9,true,92,17,15,5,3
random,edges,10,true,97,17,15,5,3
random,edges,11,false,97,16,17,4,5
random,edges,12,false,99,16,17,4,5
random,edges,13,true,98,17,16,5,4
random,edges,14,false,95,15,17,3,5
random,edges,15,false,87,15,17,3,5
random,edges,16,true,91,17,15,5,3
random,edges,17,true,88,17,14,5,2
random,edges,18,true,97,17,15,5,3
random,edges,19,true,98,17,16,5,4
random,edges,20,false,91,15,17,3,5
random,edges,21,true,94,17,15,5,3
random,edges,22,true,95,17,16,5,4
random,edges,23,false,91,15,17,4,5
random,edges,24,true,86,17,15,5,4
random,edges,25,true,99,17,16,5,4
random,edges,26,true,93,17,16,5,4
random,edges,27,true,98,17,16,5,4
random,edges,28,true,89,17,15,5,4
random,edges,29,false,98,16,17,4,5
random,edges,30,true,100,17,16,5,4
random,edges,31,true,100,17,16,5,4
random,edges,32,true,91,17,13,5,2
random,edges,33,true,90,17,16,5,4
random,edges,34,true,94,17,15,5,3
random,edges,35,true,97,17,16,5,4
random,edges,36,true,92,17,15,5,3
random,edges,37,false,97,16,17,4,5
random,edges,38,true,95,17,16,5,4
random,edges,39,true,91,17,16,5,4
random,edges,40,false,92,14,17,3,5
random,edges,41,false,95,15,17,3,5
random,edges,42,true,95,17,13,5,2
random,edges,43,false,98,16,17,4,5
random,edges,44,true,80,17,11,5,1
random,edges,45,false,82,12,17,0,5
random,edges,46,false,95,16,17,4,5
random,edges,47,false,96,16,17,4,5
random,edges,48,true,95,17,16,5,4
random,edges,49,false,97,16,17,4,5
random,edges,50,false,98,16,17,4,5
random,edges,51,true,93,17,16,5,4
random,edges,52,false,99,16,17,4,5
random,edges,53,true,99,17,16,5,4
random,edges,54,true,92,17,15,5,3
random,edges,55,true,99,17,16,5,4
random,edges,56,true,91,17,14,5,3
random,edges,57,false,84,14,17,3,5
random,edges,58,false,94,16,17,4,5
random,edges,59,false,87,16,17,4,5
random,edges,60,true,90,17,16,5,4
