game,agent_won,player_won,agent_sunk,player_sunk,agent_hit,player_hit,turns
384,false,true,4,5,15,17,77
385,false,true,4,5,16,17,91
386,false,false,5,4,17,15,84
387,false,true,3,5,13,17,90
388,false,false,5,2,17,11,73
389,false,false,5,4,17,14,78
390,false,false,5,3,17,14,66
391,false,false,5,4,17,14,101
392,false,true,3,5,13,17,59
393,false,false,5,3,17,13,74
394,false,false,5,1,17,7,58
395,false,true,3,5,12,17,68
396,false,true,4,5,15,17,116
397,false,false,5,4,17,15,69
398,false,false,5,3,17,12,56
399,false,false,5,3,17,12,65
400,false,true,4,5,14,17,66
401,false,true,3,5,12,17,69
402,false,false,5,3,17,14,75
403,false,false,5,4,17,14,79
404,false,false,5,4,17,15,100
405,false,true,3,5,12,17,90
406,false,true,3,5,12,17,56
407,false,false,5,4,17,14,69
408,false,true,4,5,15,17,110
409,false,false,5,3,17,13,79
410,false,true,4,5,14,17,79
411,false,false,5,3,17,14,81
412,false,true,4,5,15,17,85
413,false,false,5,3,17,12,95
414,false,false,5,4,17,15,115
415,false,false,5,3,17,11,71
416,false,true,3,5,12,17,102
417,false,true,2,5,10,17,72
418,false,false,5,4,17,15,101
419,false,false,5,4,17,14,75
420,false,false,5,4,17,14,93
421,false,false,5,3,17,12,52
422,false,false,5,4,17,14,58
423,false,false,5,4,17,15,99
424,false,false,5,3,17,12,101
425,false,false,5,4,17,15,115
426,false,false,5,4,17,15,76
427,false,true,4,5,12,17,73
428,false,true,4,5,15,17,63
429,false,true,4,5,15,17,76
430,false,true,3,5,12,17,68
431,false,true,4,5,15,17,77
432,false,true,4,5,15,17,76
433,false,false,5,4,17,14,82
434,false,false,5,3,17,14,74
435,false,false,5,2,17,11,54
436,false,false,5,4,17,15,74
437,false,false,5,2,17,9,41
438,false,true,3,5,15,17,86
439,false,false,5,3,17,10,61
440,false,true,4,5,12,17,91
441,false,false,5,4,17,14,86
442,false,false,5,3,17,14,89
443,false,true,4,5,15,17,80
444,false,false,5,3,17,12,84
445,false,true,4,5,15,17,78
446,false,false,5,4,17,16,98
447,false,false,5,4,17,15,105
448,false,true,4,5,14,17,56
449,false,false,5,4,17,15,94
450,false,false,5,1,17,9,40
451,false,true,4,5,14,17,82
452,false,false,5,3,17,12,84
453,false,false,5,4,17,15,64
454,false,true,4,5,14,17,91
455,false,true,4,5,14,17,120
456,false,true,4,5,12,17,80
457,false,true,4,5,14,17,92
458,false,false,5,4,17,15,64
459,false,true,4,5,12,17,65
460,false,false,5,4,17,14,76
461,false,false,5,4,17,15,81
462,false,false,5,2,17,9,56
463,false,true,3,5,11,17,90
464,false,true,4,5,15,17,65
465,false,false,5,4,17,14,84
466,false,false,5,4,17,15,96
467,false,true,4,5,12,17,80
468,false,true,1,5,4,17,47
469,false,false,5,3,17,11,71
470,false,false,5,2,17,9,50
471,false,true,3,5,12,17,54
472,false,true,4,5,14,17,89
473,false,false,5,2,17,11,69
474,false,true,4,5,13,17,89
475,false,true,4,5,15,17,89
476,false,false,5,4,17,14,87
477,false,false,5,4,17,15,73
478,false,true,1,5,6,17,57
479,false,true,4,5,15,17,128
480,false,true,4,5,15,17,76
481,false,true,4,5,13,17,86
482,false,true,4,5,15,17,80
483,false,false,5,3,17,12,72
484,false,true,4,5,15,17,86
485,false,false,5,3,17,12,78
486,false,false,5,4,17,15,120
487,false,true,4,5,15,17,101
488,false,true,4,5,14,17,95
489,false,false,5,3,17,13,72
490,false,false,5,4,17,14,91
491,false,false,5,4,17,15,103
492,false,false,5,4,17,14,81
493,false,true,3,5,12,17,82
494,false,false,5,3,17,12,72
495,false,false,5,4,17,14,95
496,false,false,5,4,17,15,80
497,false,true,1,5,7,17,53
498,false,true,4,5,14,17,63
499,false,true,3,5,10,17,69
500,false,false,5,4,17,15,93
501,false,false,5,4,17,15,74
502,false,false,5,4,17,15,80
503,false,true,4,5,15,17,82
504,false,true,4,5,15,17,96
505,false,false,5,4,17,14,81
506,false,true,2,5,9,17,57
507,false,false,5,4,17,13,60
508,false,false,5,4,17,16,107
509,false,true,2,5,9,17,49
510,false,true,4,5,14,17,79
511,false,true,3,5,12,17,76
512,false,true,4,5,13,17,116
513,false,false,5,4,17,15,92
514,false,false,5,4,17,15,80
515,false,false,5,2,17,9,66
516,false,true,4,5,15,17,93
517,false,false,5,4,17,15,93
518,false,true,3,5,12,17,96
519,false,false,5,4,17,15,94
520,false,true,4,5,15,17,69
521,false,false,5,2,17,9,54
522,false,false,5,4,17,13,63
523,false,true,3,5,13,17,77
524,false,false,5,3,17,11,51
525,false,false,5,4,17,14,102
526,false,false,5,4,17,16,115
527,false,false,5,4,17,16,72
528,false,true,4,5,15,17,102
529,false,false,5,3,17,10,73
530,false,false,5,4,17,15,74
531,false,false,5,3,17,13,103
532,false,false,5,1,17,5,54
533,false,false,5,3,17,12,87
534,false,false,5,4,17,15,94
535,false,false,5,3,17,13,74
536,false,false,5,2,17,11,71
537,false,false,5,2,17,10,61
538,false,false,5,2,17,11,66
539,false,false,5,3,17,13,88
540,false,false,5,4,17,14,77
541,false,true,4,5,15,17,84
542,false,true,3,5,12,17,59
543,false,true,4,5,15,17,91
544,false,true,4,5,15,17,95
545,false,false,5,4,17,15,92
546,false,true,3,5,10,17,61
547,false,false,5,4,17,14,67
548,false,true,3,5,14,17,65
549,false,true,4,5,15,17,87
550,false,false,5,3,17,13,86
551,false,false,5,2,17,10,63
552,false,true,4,5,15,17,99
553,false,false,5,4,17,14,75
554,false,true,4,5,15,17,97
555,false,false,5,4,17,14,51
556,false,false,5,4,17,15,76
557,false,true,4,5,15,17,100
558,false,false,5,4,17,14,93
559,false,true,3,5,12,17,80
560,false,false,5,3,17,10,55
561,false,true,4,5,15,17,69
562,false,true,2,5,10,17,54
563,false,true,4,5,15,17,100
